Id,Label,timeset,hash,member,stakes,weighted degree,modularity_class,pageranks
250,250,,0x9dc79d62078efeb55be4d9c69c3ce34048678bdb,1,0,0,237,0.001301
251,251,,0xa106654759dc3b9f980114ae47837a9fba147166,1,0,0,238,0.001301
252,252,,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,1,6,5,175,0.004892
253,253,,0xa343618637bcecb12a723c9007360c305b0507c2,1,0,0,239,0.001301
254,254,,0xa3f3fa8139a474067ed3f755f319a5cb8c5bcd1f,1,0,0,240,0.001301
255,255,,0xa41286ed588185ab56199deb1b40f6751041e924,1,0,0,241,0.001301
256,256,,0xa415561b5dd781b575a95b6d0d5d024703606e24,1,0,0,242,0.001301
257,257,,0xa493f3adf76560092088a61e9e314a08d0b1b2b8,1,6,3,252,0.001994
258,258,,0xa5a29f81eee450ec189b2f8b4562af1785595d69,1,0,0,243,0.001301
259,259,,0xa67b89210b01ee079eda08e8838a1c20ca90e3e5,1,0,0,244,0.001301
260,260,,0xa6cd28ef39015f7f9b162a6e08a6168c9ebfdd66,1,0,0,245,0.001301
261,261,,0xa7bd09daab3eb5ec96f04914d94c47681489d604,1,0,0,246,0.001301
262,262,,0xa824dc3ae402dfd6a5de71c6fc30ff9e00411209,1,0,0,247,0.001301
263,263,,0xa932e2c7d88497fdee9d87e5a450bae3874ff1a1,1,4,0,248,0.001301
264,264,,0xa98bb5cedc8ad73583f0783e48a8522d55c666e3,1,0,0,249,0.001301
265,265,,0xaae1ddb3aa7f6af2a9f56c20a618363a0f1e1f01,1,0,0,250,0.001301
266,266,,0xab59f359d7b063e99cd6376e432ae3bc70e40c7b,1,0,0,251,0.001301
267,267,,0xabd238fa6b6042438fbd22e7d398199080b4224c,1,75,35,252,0.022032
268,268,,0xac201cab893873a2ae2c519f65d80acb87ea8dbe,1,0,0,253,0.001301
269,269,,0xac4361f56c82ed59d533d45129f407015d84702a,1,0,0,254,0.001301
270,270,,0xad2c2a8800ee32fa966c3b16061a6bdfa47cf259,1,0,0,255,0.001301
271,271,,0xaea94ced5eca3d76e4ddd1d7cfa5e0735dc23ae4,1,0,0,256,0.001301
272,272,,0xaecaea22cd213f0df786af9f8b7d2f651af84d3c,1,0,0,257,0.001301
273,273,,0xb0e83c2d71a991017e0116d58c5765abc57384af,1,76,90,175,0.051503
274,274,,0xb16ecbb050ee31e3f034c5a5a02d6e2bb272987a,1,0,0,258,0.001301
275,275,,0xb1f545d2f4d6681d1a980ed3eee4c3d389b6b27a,1,0,0,259,0.001301
276,276,,0xb21718a95d88eea6e955b7440b7228bc2168f4de,1,0,0,260,0.001301
277,277,,0xb263e97547b3bedc9aa3214c0bc49c5985df26d2,1,0,0,261,0.001301
278,278,,0xb2e02d4a5b14d1c75629454a59d1eed847fe8c46,1,0,0,262,0.001301
279,279,,0xb33b9fba681653fe263b31a95766d83d18c2128d,1,30,24,382,0.016121
280,280,,0xb4c757a71d084df8f9f393cc47639701f595fd87,1,0,0,263,0.001301
281,281,,0xb514b734951e8fea74990035f3534a1ad75e53a5,1,0,0,264,0.001301
282,282,,0xb5806a701c2ae0366e15bde9be140e82190fa3d6,1,0,0,265,0.001301
283,283,,0xb5cd39eee09b930e4a6c191bc6433201e2fca183,1,0,0,266,0.001301
284,284,,0xb6317af995693789900f85b2d93d1dd0f5deb558,1,0,0,267,0.001301
285,285,,0xb64850fe701fb64667b6cc762aa2c12f2e02193c,1,0,0,268,0.001301
286,286,,0xb7399140154e2299edf131f5a1b9d1835c656293,1,0,0,269,0.001301
287,287,,0xb80d3fdbb26f6012c2c63663102e57d0e529031a,1,0,0,270,0.001301
288,288,,0xb81e88279f3208001aeda20689d3e5d818758dbf,1,0,0,271,0.001301
289,289,,0xb9c4d61f1b4ff774c7f79f0cc34ad6a62f6156ec,1,0,0,272,0.001301
290,290,,0xba45e649762cc8962636da79cd03b61954ebd59d,1,0,0,273,0.001301
