Id,Label,timeset,hash,reputation,pageranks,weighted degree
191,191,,0xcaa9c1251dfdad81f4175edbd09ba9d9131aca77,28.760293,0.020744,231
192,192,,0xcae687969d3a6c4649d114b1c768d5b1deae547b,3.820989,0.00117,0
193,193,,0xcb701ede8e50395833c24401f5abd9c5681928a0,11.829962,0.00117,0
194,194,,0xce7298e5ef1ae8af0573edc2ebd03ab0f837e214,69.935326,0.016335,192
195,195,,0xced2d002d5c2e5a3ef2c3aae00c671a1d2b225a6,24.539969,0.003467,28
196,196,,0xd1616955fb9e6889ff339916951883f12e3f4d28,11.37495,0.002992,21
197,197,,0xd1b06286f759cd9e1c140c6311ff8f2816167e65,33.367205,0.00178,8
198,198,,0xd314c175f706e29b4e272ec75386cd3dd17d24c8,7.583181,0.00117,0
199,199,,0xd3183edf513b2f6aab13ef46f781c9414c06a58e,11.37495,0.00117,0
200,200,,0xd3cc03c1d1e9d46f28aebc4ba26c5990c7ffbc3e,15.439725,0.001559,5
201,201,,0xd3e9d60e4e4de615124d5239219f32946d10151d,7.583181,0.00117,0
202,202,,0xd47cdbb2085975e761ca2b16f4916a94dd984377,11.829962,0.00117,0
203,203,,0xd67dfceab6587e655322b804547b9b450b2f78ac,19.682182,0.015493,168
204,204,,0xd6f2189c0d96bb2ae0e036d3d0922278e280a1c0,14.582786,0.00117,0
205,205,,0xd71418fc2ca467e86b1aa28668932bee80feceb9,8.478039,0.00117,0
206,206,,0xd7fe10b2f8cb5aa17901403488b5b50a19b85225,7.583181,0.00117,0
207,207,,0xd87eb1b4c26d4509aca8c099c1eb9e513d053f63,3.943084,0.00117,0
208,208,,0xdab36817e541330052811f67bb0e5f1a16f4f744,9.251559,0.00117,0
209,209,,0xde3669ac6ff1e45a4be3d669f0c18750c959c28d,7.960101,0.003659,16
210,210,,0xe33262a67d1c6472d6c9722ae4509f1b145998e1,8.682794,0.00117,0
211,211,,0xe3f820f4e22a0afe6a2ac30d5a81366198f3344e,17.34835,0.002352,2
212,212,,0xe4285287c4c418a502def4fc26afb784121c100d,7.583181,0.00117,0
213,213,,0xe644ec29654c47857d171d8f7bfe5822d41a61bb,7.583181,0.00117,0
214,214,,0xe64fe2c83b182abecef17b600e045136f3033b2e,11.37495,0.00117,0
215,215,,0xe7b81ae742fdc4cac5f6280aa91bc28d6df34a89,30.886879,0.002762,20
216,216,,0xe911bc6e89bb98866659f5a24485da05d506a1fc,10.483126,0.001935,7
217,217,,0xe9f9a7f10366fc4be8e7f2c92550087d6050f883,7.583181,0.00117,0
218,218,,0xebe7e47e89129382d0837f067ed51d318c891307,10.919937,0.003501,27
219,219,,0xebec8c75c489ab7fab3e20ea556a2cf7e0da9b4b,39.045075,0.020523,226
220,220,,0xec50ad7052bd1bb900ff0c31338d306344d1999e,16.683425,0.001907,8
221,221,,0xec952ed8e7c2aa466cac36fd611d2e87df1243d7,11.37495,0.005198,47
222,222,,0xee30a8ee27f5fe862d5f83893561b2954b598c4f,18.298718,0.00117,0
223,223,,0xef99a29e66ca072b86d53bd16d6d150a03598b0e,17.35836,0.001612,6
224,224,,0xeff83fda3aeec0e775a03f42bb0af8972136b406,18.040878,0.00117,0
225,225,,0xf16294a979a027f297dace2f618cb57bc4bf5d16,22.129501,0.008741,88
226,226,,0xf5913759b449fae8900d61f7116d451d200c60f7,43.864223,0.003888,34
227,227,,0xf71147acfff03c071bb64af73b8d8c05ccb63a4c,7.583181,0.00117,0
228,228,,0xf84925d007805f7ee043a81ba8a4d3a4b63d46e3,13.650011,0.00117,0
229,229,,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,21.694367,0.024601,288
230,230,,0xf931ff012cbff471cccb90a784e3e88b512c890a,0.018604,0.00117,0
231,231,,0xfa93c2c7d4a1c2579ad1be4add7f72cf37398f50,7.287424,0.00117,0
232,232,,0xfb43463c8ef17784921204487a397ef003a625cf,11.37495,0.00174,6
233,233,,0xfc2c722b8fe7b3ca277d349cbad6d2c5ce2ecf9c,7.583181,0.00117,0
234,234,,0xfcefee85b23fe340f3307759e14e87347f7758ee,15.318389,0.00117,0
235,235,,0xfd0f998b66f07adf87f442c7db48bebb0ef735d5,11.37495,0.00117,0
236,236,,0xfd7345c893c3620f78eece517542c86f74f88add,7.583181,0.001631,6
237,237,,0xffb566efa84fb4fdf953496b754bff28e9724660,16.289081,0.00117,0
